Date,Return
2016-01-31,-0.0364008205336924
2016-02-29,0.04606627700782233
2016-03-31,0.03772392871545831
2016-04-30,0.038223154080369075
2016-05-31,-0.03161216906058962
2016-06-30,0.05591520054899678
2016-07-31,-0.027816643409862084
2016-08-31,-0.00943441018869432
2016-09-30,-0.05257789433056742
2016-10-31,0.03648407798382588
2016-11-30,0.052455393735183146
2016-12-31,-0.02525705605681256
2017-01-31,0.012112965039247851
2017-02-28,0.01822677557973323
2017-03-31,0.0026807446533508917
2017-04-30,-0.05810557394993988
2017-05-31,-0.0066179767899107265
2017-06-30,0.009430872868607457
2017-07-31,0.03375254067845165
2017-08-31,0.0014041557829913365
2017-09-30,0.04218718730317797
2017-10-31,0.005287081884685293
2017-11-30,0.009611568757532489
2017-12-31,0.009764815404504211
2018-01-31,0.0022057395614708385
2018-02-28,-0.047491953205601053
2018-03-31,0.026339560883033228
2018-04-30,0.004608489289657587
2018-05-31,0.024484394560082223
2018-06-30,0.015218521730730005
2018-07-31,0.005092610500010693
2018-08-31,-0.010162602815178777
2018-09-30,-0.0730740798751239
2018-10-31,-0.011097000141026386
2018-11-30,0.03404905894683123
2018-12-31,0.05468891745380104
2019-01-31,0.05492937835893669
2019-02-28,0.015108458714042358
2019-03-31,0.011612070632606027
2019-04-30,-0.007458925138372872
2019-05-31,0.04542943043840024
2019-06-30,0.02336330158688777
2019-07-31,-0.044926279393194726
2019-08-31,0.002918137727580694
2019-09-30,-0.01614600394373903
2019-10-31,0.03016322806900891
2019-11-30,-0.013390811908053768
2019-12-31,0.06149152345194376
2020-01-31,-0.06593509806684046
2020-02-29,-0.19310870985983064
2020-03-31,0.08416694796230532
2020-04-30,0.03473824271852538
2020-05-31,0.006460114093790295
2020-06-30,0.020999929163718845
2020-07-31,0.021321032668373346
2020-08-31,-0.04237691649871566
2020-09-30,0.0356589644667913
2020-10-31,0.08670041061948928
2020-11-30,0.022915874011793076
2020-12-31,0.008753783155861434
2021-01-31,-0.001711176848069252
2021-02-28,0.017989644361104562
2021-03-31,0.047891562958692506
2021-04-30,0.030823010834231834
2021-05-31,0.0415499844952064
2021-06-30,0.01682870122597959
2021-07-31,0.06381462516949983
2021-08-31,-0.03587529357368574
2021-09-30,-0.004330434496352651
2021-10-31,-0.007726768830444828
2021-11-30,0.0088649099821933
2021-12-31,-0.046051429810154774
2022-01-31,0.024281913039742857
2022-02-28,0.06396647213716554
2022-03-31,-0.013227779405910743
2022-04-30,-0.04634825988912441
2022-05-31,-0.09441841055961049
2022-06-30,0.06698901137801062
2022-07-31,0.005024606995242018
2022-08-31,-0.07449057215434293
2022-09-30,0.06648819117307254
2022-10-31,0.07608166150661863
2022-11-30,-0.027328256186277662
2022-12-31,0.06611781469892816
2023-01-31,-0.00866316769826904
2023-02-28,-0.006527632731354352
2023-03-31,0.015668095243291755
2023-04-30,-0.018215916901393084
2023-05-31,0.013927483966401387
2023-06-30,0.02506702315551671
2023-07-31,0.004577621739097963
2023-08-31,-0.03573246047980562
2023-09-30,-0.06888291728013887
2023-10-31,0.050081618005504
2023-11-30,0.0655072768568864
2023-12-31,0.00964315052893694
2024-01-31,0.009988465867292382
2024-02-29,0.024661102659526757
2024-03-31,-0.023809629223566234
2024-04-30,-0.019283585568629524
2024-05-31,-0.0019442528937595998
2024-06-30,0.06038654588517182
2024-07-31,0.0017104701033070421
2024-08-31,0.0017266213094667493
2024-09-30,-0.024681513617696965
2024-10-31,0.021877892992116656
2024-11-30,-0.02844564625221984
2024-12-31,0.040572785984229705
2025-01-31,-0.04731193549184745
2025-02-28,-0.03695981267036981
2025-03-31,0.04298250009490055
2025-04-30,0.03535800302108689
2025-05-31,0.006942745373531863
2025-06-30,0.01925414835137236
2025-07-31,0.031737338639233344
2025-08-31,-0.011583575965602092
2025-09-30,0.01537869208444997
2025-10-31,-0.04201131537172403
2025-11-30,0.0032063561972701026
2025-12-31,0.029084574523890537
