Date,Return
2016-01-31,0.014844112269775969
2016-02-29,0.004890161895774297
2016-03-31,0.0016031955586615397
2016-04-30,-0.0012164165038462023
2016-05-31,0.020946659832718942
2016-06-30,0.017683757784435244
2016-07-31,-0.00946029967348145
2016-08-31,0.022309713659116645
2016-09-30,-0.002630524244490849
2016-10-31,-0.022021587592704655
2016-11-30,-0.00825022629214471
2016-12-31,0.00393375998209803
2017-01-31,0.0007884109639234446
2017-02-28,0.004638433701139942
2017-03-31,0.0023452814730249485
2017-04-30,0.00010874198919357198
2017-05-31,0.012763082970237233
2017-06-30,-0.01043646202215099
2017-07-31,-0.0010217522246219065
2017-08-31,0.011027755487709127
2017-09-30,-0.0019337668733397208
2017-10-31,0.0016033735928350809
2017-11-30,0.016677741706842785
2017-12-31,-0.0003090420255432193
2018-01-31,-0.006416412120235808
2018-02-28,0.012016202942734915
2018-03-31,0.008575746831056219
2018-04-30,-0.010462602480236855
2018-05-31,0.014976856307986015
2018-06-30,0.004828440813139795
2018-07-31,-0.007621131857086347
2018-08-31,0.015843121360615484
2018-09-30,-0.004337858861312905
2018-10-31,0.004227471579966599
2018-11-30,0.010154161485587444
2018-12-31,0.012829801519714693
2019-01-31,0.0034088103198705887
2019-02-28,0.015707233605195197
2019-03-31,0.015457362612275028
2019-04-30,-0.0015013040056954183
2019-05-31,0.02406345980845024
2019-06-30,0.010402585756185707
2019-07-31,0.0005634583512743327
2019-08-31,0.019556765113244896
2019-09-30,0.0011462638877055798
2019-10-31,-0.008334104229875669
2019-11-30,0.014288781519617488
2019-12-31,-0.013841516322532603
2020-01-31,0.01690878025270205
2020-02-29,0.01373374140704468
2020-03-31,-0.0034138705064943554
2020-04-30,-0.002675368956899027
2020-05-31,0.003048022143684448
2020-06-30,-2.9070020723700497e-05
2020-07-31,-0.0034278864424424314
2020-08-31,0.006287524787011331
2020-09-30,0.013473493922891697
2020-10-31,-0.0016440336684473951
2020-11-30,0.0024994109971340247
2020-12-31,-0.0015601116045630388
2021-01-31,-0.006985980396198598
2021-02-28,-0.027658659029147582
2021-03-31,0.004964239820759725
2021-04-30,0.005868629765738145
2021-05-31,0.005460282510034309
2021-06-30,0.008003628482518092
2021-07-31,0.010585725508994198
2021-08-31,0.006260663577224456
2021-09-30,-0.009305554305470917
2021-10-31,-0.030834277128587516
2021-11-30,0.014103999691002806
2021-12-31,0.002594816260737628
2022-01-31,-0.01120169594866706
2022-02-28,-0.010943320373218619
2022-03-31,-0.028707462359443478
2022-04-30,-0.020066447659443952
2022-05-31,-0.0032163848797272876
2022-06-30,-0.014508839274568825
2022-07-31,0.022938139622397616
2022-08-31,-0.014188046137451584
2022-09-30,-0.015138829574041897
2022-10-31,0.009585129724462665
2022-11-30,0.01896363720363655
2022-12-31,-0.014426860751752972
2023-01-31,0.023341595993822333
2023-02-28,-0.009833959149554025
2023-03-31,0.0305601975664717
2023-04-30,8.643631421013584e-06
2023-05-31,-0.0028110037430526752
2023-06-30,-0.01857166132662203
2023-07-31,-0.0026591950159016962
2023-08-31,0.015845956765905115
2023-09-30,-0.01760597562774461
2023-10-31,-0.019306318055162468
2023-11-30,0.0344404274018155
2023-12-31,0.025984120689504113
2024-01-31,-0.007526780036778574
2024-02-29,0.005542900518083239
2024-03-31,0.01336120358915334
2024-04-30,-0.02236977228452597
2024-05-31,0.012901556149759852
2024-06-30,0.006251994903883585
2024-07-31,0.006711001835712697
2024-08-31,0.015823823542205687
2024-09-30,0.0031284972763689686
2024-10-31,-0.024071360838657078
2024-11-30,0.018028832309343264
2024-12-31,0.007181159474187652
2025-01-31,-0.0027510803657544887
2025-02-28,0.0173298076547577
2025-03-31,0.007367266634338841
2025-04-30,0.00976076761933881
2025-05-31,0.0064140341534503886
2025-06-30,0.014498312473967677
2025-07-31,-0.003929480504493874
2025-08-31,0.014392430267782877
2025-09-30,0.0008513998370981624
2025-10-31,-0.0019164332811303737
2025-11-30,-0.0030487979750835675
2025-12-31,-0.005312624767690568
